29.0000000,4.9896279,218251759080.6250000,-11355.7785166,0.3825637
29.2500000,4.9834359,218494208226.8930054,11614.7093482,0.3997647
29.5000000,4.9775042,218613498024.2099915,11605.3026018,0.3988997
29.7500000,4.9701295,219636196127.2439880,11632.5513448,0.3989089
30.0000000,4.9639977,220091572539.8890076,11658.4079404,0.3998553
30.2500000,4.9572758,220453778740.4500122,11646.2691736,0.3983674
30.5000000,4.9510043,220862713303.0450134,11649.2989350,0.3978368
30.7500000,4.9447751,221311820252.0079956,-11647.6261168,0.3969154
31.0000000,4.9392725,221531053155.7829895,-11644.2104392,0.3962901
31.2500000,4.9330395,221869325282.1180115,-11607.7721480,0.3932133
31.5000000,4.9262829,222393638318.8760071,11541.3950456,0.3878127
31.7500000,4.9203239,222805425510.5799866,-11424.9608931,0.3793249
32.0000000,4.9152638,223221144143.1409912,11183.7672239,0.3628011
32.2500000,4.9099358,223806649767.9620056,10663.3120957,0.3289569
32.5000000,4.9053680,224393373364.0700073,9428.7763431,0.2565242
32.7500000,4.9016521,224315643710.3169861,7065.0509318,0.1440784
33.0000000,4.8837603,219602731517.0140076,10192.2903340,0.3062905
33.2500000,4.8787938,220593199656.6099854,10834.8592728,0.3445737
33.5000000,4.8732127,221260233012.3720093,-11382.7560943,0.3791571
33.7500000,4.8674641,221799858148.2160034,11564.9328758,0.3904386
34.0000000,4.8615379,222060706078.9890137,11665.7880166,0.3968114
34.2500000,4.8556067,222302410573.0140076,-11728.6034138,0.4006602
34.5000000,4.8496101,222468842749.7590027,-11769.4476576,0.4031537
34.7500000,4.8436096,222695184859.7170105,11800.7779581,0.4048910
35.0000000,4.8375937,222866260359.4909973,11820.3068508,0.4059204
35.2500000,4.8316059,223098239983.9259949,11807.4878188,0.4046193
35.5000000,4.8255218,223087132569.8800049,-11727.7674430,0.3991939
35.7500000,4.8197936,221657035375.5610046,-10604.6567842,0.3285031
35.8000000,4.8182004,221214297945.2390000,-10275.0496161,0.3090170
35.9000000,4.8159772,223148108348.7940000,-11739.2887104,0.3998693
36.0000000,4.8136018,223271181039.2019958,-11819.0606477,0.4050988
36.2500000,4.8076665,223449760811.9830017,-11869.2751663,0.4082218
36.5000000,4.8017236,223491877777.9179993,11882.8155260,0.4090766
36.7500000,4.7957623,223575451008.0249939,11889.9484013,0.4094148
37.0000000,4.7898805,223702212182.2879944,11896.9315310,0.4096636
37.2500000,4.7839980,223767529144.9240112,-11899.0522351,0.4096900
37.5000000,4.7781637,223871993478.4869995,11903.4283042,0.4098001
37.7500000,4.7722755,223942634344.2760010,11903.2188891,0.4096564
38.0000000,4.7664531,224024695086.3250122,11900.6269192,0.4093281
38.2500000,4.7606464,224104923664.9020081,-11892.9682139,0.4086550
38.5000000,4.7548973,224150783262.5710144,-11878.0875622,0.4075496
38.7500000,4.7491891,224297123348.4970093,11855.0550445,0.4057058
39.0000000,4.7435036,224442222226.9949951,11802.9985420,0.4018906

39.1000000,4.741277365182,224436961621.563,-11759.9607720525,0.3989745
39.1500000,4.7401626558981,224534502909.592,-11725.5848977918,0.3964730
39.2000000,4.7390637118081,224530659778.823,-11631.5458055813,0.3901458
39.2500000,4.7380228,224804072835.1889954,-10958.5260886,0.3458819
39.3000000,4.7367019,224892037494.6345200,9522.28006576604,0.2610571
39.3100000,4.736533,224658269277.094,10823.9913413558,0.3376604
39.4000000,4.73461477,224604685841.98889,-11574.5266976328,0.3862028
39.5000000,4.7324935,224693919275.7720032,-11506.3012868,0.3815117

39.5000000,4.73249354,224693919565.797,11506.30132205,0.3815117
39.5250000,4.73194852,24713173958.861,11473.67833272,0.3793189
39.5500000,4.73141730,224687166722.574,-11439.31760038,0.3770941
39.5750000,4.73088361,224702799455.799,11400.87926812,0.3745380
39.6000000,4.73037964,224774698440.689,-11361.42009825,0.3718309
39.6250000,4.72987222,224884962436.492,-11315.10332853,0.3686246
39.6500000,4.72934924,224843536504.493,11264.36218620,0.3653933
39.6750000,4.72886893,224791490810.978,11204.42334953,0.3615987
39.7000000,4.72834807,224922542712.336,-11137.37372739,0.3570757
39.7250000,4.72786447,225117057092.800,-11070.60313151,0.3525022
39.7500000,4.72738749,225186061724.995,10987.10871909,0.3470988
39.7750000,4.72688952,225220247154.410,10900.01084141,0.3415656
39.8000000,4.72643415,225267468063.410,-10799.40720158,0.3352193
39.8250000,4.72597224,225321545818.059,-10693.69266031,0.3286097
39.8500000,4.72550781,225104018881.866,10569.25998904,0.3213170
39.8750000,4.72508526,225285700538.920,-10442.84285458,0.3134235
39.9000000,4.72463293,225328375491.645,-10282.21528289,0.3037982
39.9250000,4.72424878,225200067136.896,10118.54057448,0.2943710
39.9500000,4.72384258,225209725902.049,-9934.50005041,0.2837479
39.9750000,4.72345639,225221346298.933,9721.97750333,0.2717236
40.0000000,4.72306910,225722649061.691,-9492.34737590,0.2584639
40.0250000,4.72273542,225206448555.967,9272.37008042,0.2471886
40.0500000,4.72240870,225205390865.779,9028.27883812,0.2343467
40.0750000,4.72209841,224860277858.792,8747.08012944,0.2203135
40.1000000,4.7132671,223531879071.5405300,-8486.86146412333,0.2086327
40.1250000,4.712978681,222994097275.861,-8762.1059509969,0.2229212
40.1500000,4.71266085968,222979567021.88577,-9046.0146932250609,0.2376168
40.1750000,4.712351186,222508545636.064,-9279.1955024650,0.2505542
40.2250000,4.711614120,223045862629.579,-9736.2094910921,0.2751778
40.2500000,4.7112336,222688949149.2539978,9938.1128066,0.2871686
40.3000000,4.71044375607,223139672728.61002,10294.16615970698,0.3074916
